OG_NAME	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT1G51630	0	0	1	1	1	5	5	5	4	1	1
AT1G12640	1	0	0	0	2	0	4	4	4	2	1
OG4691_2	0	2	0	2	2	0	0	0	4	2	2
OG4752_2	0	2	2	2	2	0	0	0	4	2	2
OG5959_2	0	0	2	2	2	0	0	0	4	2	2
OG2894_3	0	0	2	2	4	0	0	0	4	2	2
OG8980_1	0	0	2	2	4	0	0	0	4	2	2
OG5261_2	0	0	2	2	4	0	0	0	4	2	2
OG6642_2	0	0	2	2	4	0	0	0	4	2	2
OG4641_2	0	0	2	2	4	0	0	0	4	2	2
OG6642_1	0	0	2	2	4	0	0	0	4	2	2
OG3553_2	0	2	2	2	4	0	0	0	4	2	2
AT2G17240	0	0	2	2	0	0	2	5	5	2	2
AT2G30460	0	0	2	2	0	0	0	4	4	2	2
OG6863_1	0	2	2	2	0	0	0	4	4	2	2
OG1953_1	0	2	0	2	0	0	0	4	4	2	2
AT1G11475	0	2	0	2	0	0	0	4	4	2	2
OG5412_2	0	2	0	2	0	0	0	4	4	2	2
OG1910_1	0	2	0	2	0	0	0	4	4	2	2
ATMG00210	2	2	2	2	4	0	0	4	4	2	2
AT2G06925	0	2	2	2	4	0	1	4	4	2	2
AT2G47210	0	2	2	2	4	0	2	4	4	2	2
AT3G50940	0	0	1	2	4	0	0	4	4	2	2
OG11547_1	2	0	0	0	4	0	0	0	4	2	2
OG6273_2	2	0	0	0	4	0	0	0	4	2	2
AT4G37900	2	0	1	2	1	4	0	4	4	2	2
AT1G03905	2	2	0	2	2	4	0	4	4	2	2
AT2G34090	2	2	2	2	0	4	1	4	4	2	2
AT5G04290	0	2	2	2	0	4	1	4	4	2	2
OG5448_2	0	2	2	2	0	4	0	4	4	2	2
OG3553_1	0	2	0	2	0	4	0	4	4	2	2
AT3G49500	0	2	0	2	0	4	2	4	4	2	2
AT5G40830	0	0	2	2	0	4	2	4	4	2	2
AT5G01270	0	0	2	2	0	4	2	4	4	2	2
AT5G24060	0	0	2	2	0	4	2	4	4	2	2
AT3G21950	0	0	2	2	0	4	1	4	4	2	2
OG3527_2	0	0	2	2	0	4	0	4	4	2	2
OG6157_2	2	0	0	0	0	2	0	4	4	2	2
OG4125_2	2	0	0	0	0	4	0	4	4	2	2
AT4G30950	2	0	0	0	0	4	4	4	4	2	2
AT3G57990	2	2	2	2	0	4	4	4	4	2	2
AT5G62290	2	2	2	2	0	4	4	4	4	2	2
AT2G19870	2	2	2	2	1	4	4	4	4	2	2
AT1G20770	2	2	2	2	2	4	4	4	4	2	2
AT5G41190	2	2	2	2	2	4	4	4	4	2	2
AT5G13480	1	2	2	2	2	4	4	4	4	2	2
AT1G72970	0	2	2	2	1	4	4	4	4	2	2
AT2G04530	0	2	2	2	1	4	4	4	4	2	2
AT4G00800	0	2	2	2	0	4	4	4	4	2	2
AT1G77130	0	2	2	2	0	4	4	4	4	2	2
AT3G09220	0	2	2	2	0	5	4	4	4	2	2
AT3G12700	0	2	0	2	0	5	4	5	4	2	2
AT4G15790	0	2	0	2	1	5	5	5	4	2	2
AT1G68310	0	2	0	2	1	4	4	4	4	2	2
AT3G61130	0	2	0	2	0	4	4	4	4	2	2
AT1G80910	0	1	0	2	0	4	4	4	4	2	2
AT5G14530	2	2	0	2	0	4	4	4	4	2	2
AT1G51740	2	0	2	2	0	4	4	4	4	2	2
AT5G60990	2	0	2	2	0	4	4	4	4	2	2
AT5G11700	2	0	2	2	0	4	4	4	4	2	2
AT5G04060	0	0	2	2	1	4	4	4	4	2	2
AT2G38580	0	0	2	2	2	4	4	4	4	2	2
AT3G05680	1	0	0	2	2	4	4	4	4	2	2
AT5G46250	0	0	0	2	4	4	4	4	4	2	2
AT2G01110	0	0	2	2	4	4	4	4	4	2	2
AT1G76880	0	0	2	2	4	4	4	4	4	2	2
AT2G44210	0	1	1	2	4	4	4	4	4	2	2
AT1G06890	0	2	2	2	4	4	4	4	4	2	2
AT5G14600	0	2	2	2	4	4	4	4	4	2	2
AT5G55500	0	2	2	2	4	4	4	4	4	2	2
AT1G65900	0	2	1	2	4	4	4	4	4	2	2
AT4G09980	0	2	0	2	4	4	4	4	4	2	2
AT5G66950	0	2	0	2	4	4	4	4	4	2	2
AT1G30450	0	2	0	2	4	4	4	4	4	2	2
AT3G12740	0	2	0	2	4	4	4	4	4	2	2
AT1G80940	2	2	2	2	4	4	4	4	4	2	2
AT5G26751	2	0	2	2	4	4	4	4	4	2	2
AT5G20170	2	0	2	2	4	4	4	4	4	2	2
AT4G35910	2	1	1	1	4	4	4	4	4	2	2
AT1G76890	2	2	0	2	4	4	4	4	4	2	2
AT4G21670	2	2	0	2	4	4	4	4	4	2	2
AT3G17850	2	2	0	2	4	4	4	4	4	2	2
AT5G40640	2	1	0	2	4	4	2	4	4	2	2
AT1G61700	2	2	2	2	4	0	4	4	4	2	2
AT5G48030	0	2	2	2	4	0	4	4	4	2	2
AT4G02600	0	0	1	2	4	0	4	4	4	2	2
AT3G27230	0	0	0	2	4	0	4	4	4	2	2
AT3G26370	0	0	0	2	4	2	4	4	4	2	2
AT1G04200	0	0	0	2	4	2	4	4	4	2	2
AT3G03560	0	0	2	2	4	2	4	4	4	2	2
AT3G19720	0	0	2	2	4	2	4	4	4	2	2
AT2G45620	2	0	0	0	4	2	4	4	4	2	2
AT5G52370	2	0	0	2	4	2	4	4	4	2	2
AT5G66200	2	0	1	2	4	2	4	4	4	2	2
AT4G28200	2	0	2	2	4	2	4	4	4	2	2
AT3G51130	2	2	2	2	4	2	4	4	4	2	2
AT2G17695	2	2	0	2	4	2	4	4	4	2	2
AT5G19400	2	2	0	2	4	2	4	4	4	2	2
AT3G59650	2	2	2	2	4	2	2	4	4	2	2
AT1G17530	0	2	2	2	4	4	1	4	4	2	2
OG687_1	0	2	0	2	4	4	0	4	4	2	2
AT2G26680	0	0	0	2	4	4	2	4	4	2	2
AT3G24506	0	0	2	2	5	5	2	5	5	2	2
OG4755_2	2	0	0	0	4	2	0	4	4	2	2
AT1G73940	2	0	0	0	0	0	4	4	4	2	2
AT1G48490	2	0	0	2	0	0	4	4	4	2	2
AT3G27390	0	1	0	2	0	0	4	4	4	2	2
AT1G52320	0	0	0	2	0	0	4	4	4	2	2
AT3G62330	2	2	2	2	0	0	4	4	4	2	2
AT5G52200	2	2	2	2	2	0	4	4	4	2	2
AT1G73930	2	2	0	2	2	0	4	4	4	2	2
AT5G27990	2	2	0	2	0	0	4	4	4	2	2
AT5G38880	0	2	0	2	0	2	4	4	4	2	2
AT1G02120	0	2	0	2	0	2	4	4	4	2	2
AT5G22030	0	2	2	2	0	2	4	4	4	2	2
AT5G58005	0	2	2	2	0	2	4	4	4	2	2
AT1G54320	0	2	2	2	0	0	4	4	4	2	2
AT2G47790	0	2	2	2	0	0	2	4	4	2	2
ATMG00580	0	0	2	2	0	0	4	4	4	2	2
AT5G58990	0	0	2	2	0	0	4	4	4	2	2
AT2G23520	0	0	2	2	0	2	4	4	4	2	2
OG6326_2	0	3	0	3	0	5	0	5	6	3	3
OG1418_1	0	2	2	2	0	6	0	6	6	3	3
AT5G41120	3	0	0	0	5	3	3	3	5	3	3
AT5G20230	3	0	0	0	5	0	3	5	5	3	3
AT2G10940	0	0	1	3	0	6	6	6	6	3	3
OG2466_3	0	1	1	3	6	0	0	0	6	3	3
AT5G09440	1	0	0	0	0	0	6	6	6	3	3
AT1G20220	0	1	3	3	0	0	6	6	6	3	3
AT5G54160	0	0	0	3	7	0	7	7	7	3	3
AT1G22840	3	3	1	3	6	0	6	6	6	3	3
AT5G64260	3	0	2	3	6	6	6	6	6	3	3
AT2G43710	3	3	3	3	6	6	6	6	6	3	3
AT4G10040	0	3	2	3	6	6	4	6	6	3	3
AT1G42550	0	3	0	3	6	5	5	5	6	3	3
AT4G23730	0	0	2	2	5	5	5	5	5	3	3
AT4G24930	1	1	3	3	5	5	5	5	5	3	3
