Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSG00000000460	0.204309	-0.05826	1.69908	0.212968	-0.956219	-0.376713	-0.725169	-1.29249	0.211391	2.17499	1.30485	0.147126	-0.784397	-1.76146
ENSG00000002330	-0.283007	0.299424	0.621117	1.20548	0.0514277	-0.744487	-1.14995	-0.244669	1.27933	1.61904	0.970144	-0.187389	-1.8115	-1.62496
ENSG00000002822	0.037126	0.527873	0.0410733	0.239172	-0.0875147	-0.341199	-0.416532	0.850586	0.640059	0.775213	1.19686	0.348852	-1.58753	-2.22404
ENSG00000004776	-0.512358	0.919098	1.33473	0.454704	-0.271615	-0.39004	-1.53452	0.288752	1.36978	1.5628	1.15039	-0.464023	-2.04711	-1.86058
ENSG00000005469	-0.903729	-0.407619	0.211258	0.638797	0.760319	-0.45627	0.157247	-0.816781	1.21804	1.93518	1.08846	-0.384555	-1.5398	-1.50054
ENSG00000005483	0.693864	1.5359	-0.0378263	-0.0229737	-0.75459	-0.437533	-0.976842	0.492285	0.755115	1.07151	0.443065	-0.104711	-0.445791	-2.21147
ENSG00000005889	1.17942	1.30119	-0.373654	-1.18044	-0.0304493	-0.312881	-0.58319	2.18866	1.41285	-0.22714	-1.18311	-0.900672	-0.704743	-0.585852
ENSG00000006468	0.603269	0.403461	0.253895	-0.574974	-0.319028	-0.183312	-0.183312	1.46998	1.17127	0.895476	0.681962	-0.195171	-1.71313	-2.31038
ENSG00000006638	0.328005	0.47072	1.01325	0.492233	-0.83138	-1.26171	-0.211127	0.584462	1.78204	1.73318	0.441322	-0.728126	-2.20507	-1.60781
ENSG00000006704	0.108457	0.268782	-0.575028	0.1925	0.471583	-0.0615457	-0.404753	-0.296829	0.412584	0.462261	1.1895	-0.100898	-0.833308	-0.833308
ENSG00000007202	0.217677	-0.274692	0.207618	0.59287	-0.662408	-0.354321	0.273256	0.585244	-0.399597	0.568407	0.562487	0.38818	-0.47635	-1.22837
ENSG00000007255	0.218869	0.23634	0.720251	0.994994	-0.019783	-1.08514	-1.06553	0.849182	0.995635	0.721858	0.571648	0.275528	-1.14428	-2.26957
ENSG00000007314	2.45803	0.243629	0.211298	0.271491	-1.31015	-1.00472	-0.869567	1.81935	0.250815	0.141314	-0.747764	-0.455941	-0.185629	-0.822145
ENSG00000008083	-0.408938	0.733184	0.950541	-0.274514	-0.375578	-1.01734	0.392647	-0.619397	0.50254	1.67159	0.00577667	-0.85439	-0.916757	0.210637
ENSG00000008283	-0.334142	0.931314	1.05877	0.417897	-0.291279	-0.910911	-0.87165	1.1827	2.10431	2.15705	1.13058	-0.593945	-2.57881	-3.40187
ENSG00000008382	-0.443966	0.492797	1.02418	0.849546	-0.518347	-0.498139	-0.906065	-0.947319	1.23446	1.39976	1.10782	-0.337944	-1.00809	-1.44868
ENSG00000008838	-0.428256	1.22985	0.731133	-0.019026	-0.303025	-0.232327	-0.978343	-0.950067	1.49016	2.0605	0.3455	-1.18112	-0.814912	-0.950067
ENSG00000010319	1.14967	0.373057	-0.943108	0.899279	-1.2648	-0.301344	0.0872403	0.982712	0.84144	0.151643	-0.419958	-1.15237	0.151643	-0.555113
ENSG00000010361	-0.640736	0.0791893	0.561999	0.582049	0.143788	-0.690414	-0.035878	-0.649423	1.05377	1.61045	1.71695	-0.318339	-1.66951	-1.74389
ENSG00000011021	-0.983987	-0.299612	1.76195	1.07171	-0.357732	-0.782632	-0.409692	0.141205	0.499955	1.60461	1.00458	0.157465	-1.12298	-2.28483
ENSG00000011132	0.307051	1.39405	-0.183948	0.278523	-0.95318	-0.214656	-0.627846	0.12582	2.00652	0.190333	0.793507	0.10333	-1.34757	-1.87193
ENSG00000011347	-0.366176	0.186567	1.6293	0.366231	-0.805276	-0.779623	-0.231021	-0.531739	-0.0696377	1.80413	-0.0696377	-0.531739	-0.0696377	-0.531739
ENSG00000011405	0.713552	-0.318522	0.162098	0.346242	-0.00370233	0.102612	-1.00228	1.87923	0.801311	-0.080132	-0.411216	-0.947695	-0.620752	-0.620752
ENSG00000012061	-0.386226	0.844263	2.01124	0.343536	-0.675806	-1.37723	-0.759771	0.905394	1.18196	1.72411	0.668094	-0.742756	-1.5956	-2.14121
ENSG00000013306	-0.129271	-0.411704	1.47928	0.93857	-0.202168	-0.8968	-0.777908	0.844058	0.384104	0.924544	0.724188	-0.104004	-1.29318	-1.47971
ENSG00000021826	-0.0240167	0.770653	0.391866	0.322574	-0.656391	-0.402343	-0.402343	0.248942	2.21344	0.789104	-0.653743	-1.251	-0.788898	-0.557847
ENSG00000023228	-0.111468	0.140838	0.647419	0.892688	-0.255858	-0.752652	-0.560971	-0.646803	1.02777	1.09145	0.856624	0.0735437	-1.12517	-1.27742
ENSG00000023839	0.269102	0.309943	1.20417	-0.729474	-0.309294	-0.112626	-0.63182	1.81208	1.30943	1.19654	0.076636	-1.74561	-1.21137	-1.43772
ENSG00000028528	1.40581	-1.14171	0.056145	1.14704	-0.803597	-0.318501	-0.345182	1.55866	0.267735	-1.22878	-0.0570713	0.229855	-0.181555	-0.588838
ENSG00000029153	0.185429	1.34668	-0.109522	0.362995	-0.325064	-0.448314	-1.01221	1.09154	1.36075	0.802756	0.379049	-0.266871	-1.35385	-2.01336
ENSG00000029364	-1.08224	0.432085	1.07195	0.833511	-0.0646917	-0.3661	-0.824514	-0.829664	0.984799	1.82938	1.57424	-0.273867	-1.56881	-1.71609
ENSG00000029534	-0.150645	0.873087	1.78272	0.241827	-1.21885	-0.518828	-1.00931	0.640363	0.608593	1.52754	0.600151	-0.59952	-1.02236	-1.75477
ENSG00000030419	0.775306	1.20386	-0.012693	-0.645066	-0.803218	-0.353243	-0.164946	0.554568	1.66254	0.623784	0.0265307	-1.03283	-1.03283	-0.801774
ENSG00000032389	0.606975	-0.187859	-0.378149	1.54854	0.369092	-0.229085	-1.72952	1.88032	-1.47434	-0.0362423	1.3059	0.902282	-1.05485	-1.52306
ENSG00000033627	0.233693	-0.330198	-0.402935	0.782913	-0.159305	-0.137792	0.0136237	1.21932	0.521675	0.115992	1.07102	0.101809	-0.934699	-2.09511
ENSG00000034693	-0.159314	0.089757	0.676531	1.29387	-0.656533	-0.361977	-0.882333	-0.230274	1.35895	1.95905	0.715052	-0.454852	-2.30841	-1.03952
ENSG00000034971	-0.178249	0.640664	0.570226	-0.736242	-0.99029	0.15146	0.542431	3.20969	0.969629	-0.928284	-1.15933	-0.697235	-0.466184	-0.928284
ENSG00000035115	-0.265475	0.411124	0.982174	0.630474	-0.0997177	-1.48252	-0.176054	0.271833	2.17501	0.817244	-0.499835	-0.36468	-1.13221	-1.26736
ENSG00000035720	1.10874	0.271776	0.247353	-0.130757	-1.03956	0.18068	-0.638233	3.1783	1.57436	-1.05783	-1.28888	-0.364678	-1.51993	-0.521346
ENSG00000036530	-0.320785	0.292732	0.813705	0.489357	-0.602461	-0.682849	0.010299	-0.4256	0.437822	1.87251	0.050105	-1.02286	-0.791807	-0.12017
ENSG00000036549	-0.609458	0.556043	0.701975	1.09985	-0.155799	-1.24597	-0.346639	-1.02463	1.06613	1.75124	1.44168	0.107832	-1.10426	-2.23799
ENSG00000044574	1.17808	-0.315991	-0.329327	0.817038	0.0165067	-0.917947	-0.448359	0.324407	0.324407	1.7	0.640427	0.416754	-1.37671	-2.02929
