Species	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
clusterset1002	-1	-1	7	7	7	7	2	7	7	7	7
clusterset1008	-1	0	6	6	0	0	6	6	6	6	6
clusterset1012	-1	-1	2	2	-1	2	-1	2	2	2	2
clusterset1017	1	0	4	4	4	4	4	4	4	4	1
clusterset1019	-1	-1	-1	-1	4	4	4	4	4	4	4
clusterset1023	3	7	7	7	3	3	3	3	3	3	3
clusterset1025	2	2	2	2	2	4	2	2	2	2	2
clusterset1027	0	2	2	2	2	2	4	2	2	2	2
clusterset1029	-1	-1	-1	-1	4	4	4	4	4	1	1
clusterset1034	-1	-1	6	6	-1	6	6	6	6	6	6
clusterset1044	-1	3	3	3	6	3	3	3	6	6	6
clusterset1046	-1	-1	-1	-1	1	4	-1	4	1	1	4
clusterset1052	-1	3	3	3	-1	3	-1	3	3	3	3
clusterset1054	7	-1	-1	-1	3	3	3	3	3	3	7
clusterset1056	2	4	4	4	2	2	2	2	2	2	2
clusterset1058	-1	4	4	4	4	-1	-1	-1	4	4	4
clusterset1062	1	1	1	1	-1	1	0	1	1	1	1
clusterset498	7	-1	7	7	-1	2	-1	7	7	7	7
clusterset500	-1	0	1	1	2	-1	-1	-1	2	2	2
clusterset505	4	0	1	1	4	0	4	4	4	1	4
clusterset507	4	-1	-1	-1	-1	-1	4	4	4	4	4
clusterset523	1	0	0	1	0	1	1	1	1	1	1
clusterset556	-1	-1	4	4	2	-1	-1	-1	2	2	2
clusterset562	0	4	4	4	2	0	1	2	2	4	4
clusterset591	2	0	2	2	-1	2	1	2	2	2	2
clusterset597	-1	6	0	6	-1	-1	6	6	6	6	6
clusterset602	-1	2	2	2	2	4	0	2	2	2	2
clusterset604	-1	-1	1	1	-1	-1	1	1	1	1	1
clusterset625	4	0	1	1	0	1	1	1	1	1	4
clusterset627	-1	2	0	3	3	3	3	3	3	3	3
clusterset629	-1	-1	3	3	-1	0	-1	7	7	7	7
clusterset633	0	4	4	4	0	-1	1	1	4	4	4
clusterset638	-1	4	-1	4	-1	4	0	4	4	4	4
clusterset640	4	-1	-1	-1	2	4	-1	2	2	4	4
clusterset646	0	4	4	4	4	2	2	2	4	4	4
clusterset648	2	-1	-1	-1	0	2	0	2	2	2	2
clusterset652	-1	7	7	7	7	2	-1	7	7	7	7
clusterset654	-1	-1	1	1	0	0	-1	4	1	1	1
clusterset656	3	3	4	3	0	3	3	3	3	3	3
clusterset658	3	0	3	3	4	3	3	3	3	3	3
clusterset660	-1	0	4	4	0	2	2	2	2	2	2
clusterset662	-1	-1	-1	-1	3	-1	3	3	3	7	7
clusterset664	-1	4	4	4	-1	1	-1	1	4	4	4
clusterset666	-1	-1	0	4	0	2	-1	2	4	4	4
clusterset668	5	7	7	7	5	5	5	5	5	5	5
clusterset670	3	0	2	2	-1	2	2	2	2	2	3
clusterset675	-1	7	0	7	-1	6	1	6	6	6	6
clusterset677	-1	3	6	6	0	6	6	6	6	6	6
clusterset679	4	4	0	4	0	2	2	2	2	4	4
clusterset687	-1	-1	2	2	2	-1	4	2	2	2	2
clusterset689	-1	0	0	6	6	0	6	6	6	6	6
clusterset743	6	7	7	7	6	6	7	6	6	6	6
clusterset760	3	3	0	3	3	0	3	3	3	3	3
clusterset933	-1	-1	1	1	-1	4	4	4	4	1	1
clusterset940	-1	1	1	1	-1	0	4	4	4	1	1
clusterset946	-1	-1	-1	-1	3	3	3	3	3	2	3
clusterset952	7	7	7	7	7	7	7	7	7	7	7
clusterset955	-1	-1	2	2	-1	-1	0	2	2	2	2
clusterset961	-1	2	2	2	-1	-1	2	2	2	2	2
clusterset970	-1	-1	-1	-1	1	4	4	4	1	1	1
clusterset973	-1	0	1	1	1	-1	-1	-1	1	1	1
clusterset979	0	0	1	1	4	4	4	4	4	1	1
clusterset982	1	1	4	4	0	4	0	4	4	4	1
clusterset988	-1	2	2	2	2	-1	-1	-1	2	2	2
clusterset994	7	7	7	7	3	3	3	3	3	7	7
clusterset997	3	3	3	3	3	3	3	3	3	3	3
clusterset684	4	-1	-1	-1	0	0	4	4	4	4	4
clusterset671	-1	4	4	4	4	0	1	1	4	4	4
clusterset387	2	-1	-1	-1	2	4	4	4	2	2	2
clusterset937	0	0	-1	3	3	3	3	3	3	3	3
clusterset991	-1	3	0	3	-1	3	3	3	3	3	3
clusterset985	2	2	2	2	0	-1	2	2	2	2	2
clusterset976	-1	0	1	1	1	4	4	4	1	1	1
clusterset967	0	4	0	2	2	2	2	2	2	2	2
clusterset964	0	1	1	1	0	0	1	1	1	1	1
clusterset958	-1	-1	3	3	-1	6	6	6	6	6	6
clusterset949	-1	3	3	3	-1	0	3	3	3	3	3
clusterset943	-1	3	3	3	4	0	4	3	3	3	3
