Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSBTAG00000000054	-0.978455	0.679306	0.107577	0.390009	0.294115	0.15896	-0.651512	0.344823	1.88373	1.59068	-0.326252	-0.765696	-1.09541	-1.63188
ENSBTAG00000000057	-0.0265003	-0.213039	-0.273813	0.041008	0.220055	0.367951	-0.11566	0.998188	1.85792	1.18531	0.137008	0.194782	-1.38775	-2.98546
ENSBTAG00000000071	0.309101	0.437384	0.206334	0.14556	-0.390919	0.511765	-1.21922	0.683582	0.873048	0.12145	0.806157	-1.42987	-1.06366	0.00929233
ENSBTAG00000000072	-1.78539	0.857055	0.750901	1.10395	-0.234068	-0.516501	-0.17595	0.0363737	0.852844	2.54459	1.10156	0.25333	-2.9392	-1.84949
ENSBTAG00000000092	0.757743	-0.828426	-0.176405	0.503212	-0.000123667	-0.648761	0.39276	2.51237	-1.70509	-1.23129	1.81623	0.302647	-0.676915	-1.01795
ENSBTAG00000000097	-0.431041	0.49592	0.551604	-0.148609	0.169894	-0.685089	0.0473203	-0.924996	0.475474	1.44619	0.531441	-0.300956	-0.716799	-0.510349
ENSBTAG00000000103	0.300357	-0.348278	0.374315	-0.0888433	0.398229	-0.483434	-0.152349	-0.878386	2.14773	0.329841	-0.606371	-0.438828	-0.455709	-0.0982773
ENSBTAG00000000123	1.14783	0.371534	0.849895	0.602583	-0.836582	-1.06763	-1.06763	0.446118	0.532621	0.898825	0.0799147	-0.652492	-0.652492	-0.652492
ENSBTAG00000000131	0.394183	0.175256	0.307755	-0.303106	-0.20307	-0.494894	0.123873	2.18731	1.77878	1.11944	-0.590707	-1.09019	-1.58777	-1.81685
ENSBTAG00000000139	0.495545	0.758364	0.177993	-0.323367	-1.21244	0.623209	-0.519297	-0.338485	0.479941	1.3741	1.68329	-3.11391	-1.29977	1.21483
ENSBTAG00000000149	0.463054	0.981693	0.463055	-0.0734243	-0.737568	-0.31998	-0.776829	-2.12643	2.40558	2.29325	-0.298959	-0.379183	-0.905245	-0.989016
ENSBTAG00000000163	-0.202131	0.0905583	0.177678	0.00461667	-0.050603	-0.001035	-0.019084	0.161415	0.993665	0.746758	0.986682	0.156198	-1.10385	-1.94087
ENSBTAG00000000177	0.449916	0.354971	0.54581	0.378884	-0.707147	-0.742267	-0.280168	0.566441	0.548495	0.9252	0.379487	-0.728099	-1.34337	-0.348148
ENSBTAG00000000188	0.378054	0.124007	0.51784	0.628292	-0.207077	-0.585404	-0.855715	-0.513339	0.979861	1.10244	0.115683	-0.31741	-0.683614	-0.683614
ENSBTAG00000000204	0.149905	0.099388	0.179775	0.181675	-0.251419	-0.282323	-0.077003	1.06067	0.471098	0.719418	1.0282	-0.741205	-1.63469	-0.903496
ENSBTAG00000000222	0.707978	0.659784	0.641088	0.48951	-0.008499	-0.946303	-1.54356	1.44422	1.18446	2.0774	0.795789	-1.18075	-2.25852	-2.06259
ENSBTAG00000000267	0.534162	-0.0400937	0.239607	-0.567183	0.200346	0.104452	-0.471289	2.40357	0.903333	0.583433	-0.342679	-0.563614	-0.881428	-2.10261
ENSBTAG00000000278	0.706175	0.108921	0.234686	0.728554	0.122529	-0.488333	-1.41253	0.0525403	0.996945	0.681563	0.597792	0.0781947	-1.02042	-1.38662
ENSBTAG00000000292	0.294275	0.737323	-0.139437	0.297957	0.000967333	-0.0813197	-1.10977	1.15015	1.6194	2.26266	-0.349839	-1.17356	-1.68468	-1.82414
ENSBTAG00000000305	0.25934	-0.093257	-0.181246	0.287725	0.29111	-0.412295	-0.151375	0.745967	1.00953	0.992767	1.55189	0.367017	-3.32141	-1.34577
ENSBTAG00000000343	-0.162835	0.616815	0.497922	0.407279	-0.202096	-0.689848	-0.467239	-0.427009	2.05179	2.68529	1.11463	-0.864284	-2.20488	-2.35554
ENSBTAG00000000376	-0.350407	0.40868	-0.0679747	0.352996	-0.23825	0.03731	-0.142356	2.69438	0.597163	-0.0795603	-1.14654	-1.08842	-0.375328	-0.601699
ENSBTAG00000000385	-0.65478	0.260027	1.0242	0.837667	-1.02098	-0.0224057	-0.42373	-2.72522	1.08825	1.25721	0.598456	0.449516	0.538839	-1.20705
ENSBTAG00000000389	0.472451	0.237455	-0.359797	-0.64223	0.526621	-0.224642	-0.009856	1.16275	0.865217	0.646985	0.155813	-1.26341	-0.698542	-0.868817
ENSBTAG00000000428	0.0208527	0.146917	-0.038754	-0.139815	0.237561	-0.033664	-0.193098	2.6593	1.46984	0.0971473	0.333021	-0.366589	-1.68151	-2.51121
ENSBTAG00000000446	1.06177	0.0999053	-0.644626	-0.50947	0.0647853	-0.047372	-0.0249927	2.12593	2.19925	1.65559	-0.325739	-1.41515	-1.77637	-2.46352
ENSBTAG00000000526	0.391062	0.059978	0.682885	0.0173663	-0.511622	-0.319834	-0.319834	-1.02139	1.42633	2.69101	0.300665	-1.29462	-0.695215	-1.40678
ENSBTAG00000000539	-0.254519	-0.903157	0.191316	0.923724	0.557519	-0.0874347	-0.42745	0.414855	0.436291	1.20915	0.433801	-0.200999	-1.02811	-1.26499
ENSBTAG00000000565	0.843867	0.763533	0.371817	0.597775	-0.466743	-0.854461	-1.25579	0.944103	1.16466	2.10953	0.991017	-0.861789	-2.87386	-1.47367
ENSBTAG00000000629	-0.00364067	-0.019904	0.863165	0.0956377	-0.167181	-0.482003	-0.286074	-0.985443	1.72086	2.33703	0.987344	-0.644789	-1.86276	-1.55225
