Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSRNOG00000000001	0.315535	0.575482	0.472097	0.0084	-0.393876	-0.384485	-0.593155	-1.08657	0.544096	1.35864	0.728379	-0.162371	-0.92154	-0.460636
ENSRNOG00000000041	1.5709	0.904596	0.172186	-0.877776	-1.10883	-0.415677	-0.245402	1.69896	1.64035	1.34757	-0.47689	-0.728146	-1.70373	-1.77811
ENSRNOG00000000047	-0.192607	0.0497433	0.401213	0.1549	-0.0373767	-0.0362	-0.339676	0.128831	1.41842	1.28383	0.689318	-0.372099	-1.64583	-1.50247
ENSRNOG00000000054	-0.0913917	0.807035	0.0384817	0.280968	-0.226662	-0.384815	-0.423615	0.636068	0.666775	1.8081	0.391345	-0.345412	-1.73585	-1.42103
ENSRNOG00000000138	-0.168882	0.62517	0.195	0.215072	0.175808	-0.883543	-0.158625	1.86115	0.840511	0.340599	-0.815513	-1.27761	-0.972181	0.0230477
ENSRNOG00000000145	-0.183874	0.618943	0.729394	0.481029	-0.963524	-0.749356	0.067385	0.262619	1.59661	1.99905	-0.394102	-1.10876	-0.793942	-1.56147
ENSRNOG00000000167	0.00609733	0.789132	0.362911	0.407421	0.451932	-1.47085	-0.546646	-0.18936	0.137583	0.0416893	1.17542	-0.555564	-0.786613	0.176845
ENSRNOG00000000172	-1.05602	0.562149	0.969719	1.58731	-0.583501	-1.65327	0.173613	-0.723762	0.638528	1.04956	1.10509	0.458531	-1.17982	-1.34813
ENSRNOG00000000190	0.673176	0.837928	0.105557	-0.225784	-0.321678	-0.368544	-0.700654	-0.00435233	0.851828	1.55732	1.1809	-0.615079	-0.820477	-2.15014
ENSRNOG00000000207	0.787196	0.551846	0.338626	0.262345	-0.787616	-0.922771	-0.229623	0.509619	0.413725	-0.25791	0.801442	-0.488959	-0.720008	-0.25791
ENSRNOG00000000233	0.697193	-0.090282	0.663639	0.670512	0.371816	-0.857812	-1.45507	-0.0573317	0.77097	-0.423536	0.248099	0.539922	-0.423536	-0.654585
ENSRNOG00000000247	0.193394	0.0242337	0.64665	0.349454	0.18707	-0.428628	-0.972175	0.540452	1.85424	0.956306	1.32957	-1.25246	-1.28656	-2.14154
ENSRNOG00000000299	-0.0106517	0.824332	0.0771717	0.396755	-0.541594	-0.26089	-0.48512	-0.287056	0.437837	0.328017	0.493584	0.368957	-0.0544627	-1.28688
ENSRNOG00000000322	0.924627	0.852679	-0.870818	-1.4073	-0.578993	0.660216	0.419585	1.01675	0.965367	-0.280523	-0.97367	-0.511572	-0.607466	0.391112
ENSRNOG00000000379	0.287411	0.816399	-0.98148	1.6276	0.675128	-1.21253	-1.21253	-1.1141	-0.420956	0.473289	2.2587	1.03128	-1.1141	-1.1141
ENSRNOG00000000380	0.679923	-0.0206917	-0.443529	0.804822	0.136843	-0.443529	-0.713839	1.37724	0.749834	-1.1832	-0.0494653	-0.259002	-0.7211	0.0856897
ENSRNOG00000000386	0.29771	1.31341	0.0174483	-0.516708	-0.280491	-0.0836137	-0.747757	2.09531	2.23385	1.04229	-1.00505	-1.68881	-1.68881	-0.988789
ENSRNOG00000000390	1.8877	0.375638	-0.452667	-0.452667	-0.452667	-0.452667	-0.452667	0.396084	-0.066014	-0.066014	-0.066014	-0.066014	-0.066014	-0.066014
ENSRNOG00000000394	0.387252	0.214321	0.0791633	0.302628	-0.425546	-0.331552	-0.226267	-1.47741	0.698576	1.9225	0.327956	-0.513953	-0.784264	-0.173403
ENSRNOG00000000486	0.22536	0.0651463	0.592887	-0.32051	-0.091166	-0.253002	-0.218717	1.17979	1.91983	1.36017	0.17772	-1.70033	-1.86311	-1.07407
ENSRNOG00000000498	0.858163	0.21511	0.108957	0.625436	0.11645	-0.393351	-1.53077	0.867805	1.01581	0.989335	0.757315	-0.130192	-1.37703	-2.12305
ENSRNOG00000000508	-0.811596	0.745569	0.270754	-0.496774	0.186982	0.004585	0.100479	1.23219	1.19998	0.706523	-0.211392	-0.943801	-1.4059	-0.577596
ENSRNOG00000000512	0.470045	0.470045	-0.478045	-0.0567733	-0.186221	-0.35038	0.131332	1.4988	0.779918	-0.318695	-1.31727	-0.18354	-0.297182	-0.162027
ENSRNOG00000000515	0.277554	-0.335963	-0.073144	0.24855	0.232286	0.252851	-0.602132	1.80372	1.00719	-0.44273	-0.673779	-0.115786	-1.13588	-0.442729
ENSRNOG00000000577	0.113663	0.0623637	0.510134	0.615887	-0.243631	-0.343101	-0.715312	0.17607	0.605407	1.63135	-0.0634863	-0.103683	-0.51468	-1.73098
ENSRNOG00000000588	1.47291	1.44114	-0.289846	-0.656052	-0.656052	-0.656052	-0.656052	0.979457	0.601131	-0.131278	-0.362327	-0.362327	-0.362327	-0.362327
ENSRNOG00000000609	0.0978123	0.172194	0.750395	-0.598719	-0.0373427	0.0637193	-0.448057	-0.831215	0.377296	1.37646	0.277815	0.495707	-1.023	-0.673062
ENSRNOG00000000645	1.07174	0.174188	-0.142513	0.0330097	-0.0256853	-0.720911	-0.389827	0.723772	0.910788	0.611378	0.977735	0.602378	-1.38757	-2.43848
ENSRNOG00000000648	0.364871	0.502794	0.70283	0.814231	-1.23096	-0.424169	-0.729599	-0.146392	0.0213117	1.09804	1.03517	0.143885	-0.69224	-1.45977
ENSRNOG00000000662	0.443028	-0.652395	0.06375	1.03679	-0.507849	-0.145786	-0.237539	1.6037	0.702446	1.05239	0.748542	-0.502992	-2.223	-1.38109
ENSRNOG00000000695	-0.3666	0.572581	0.207861	0.248072	0.123063	-0.063476	-0.721503	1.83519	1.50956	0.48183	-0.555087	-0.940906	-1.71869	-0.61189
ENSRNOG00000000701	-0.520098	0.030721	0.275519	0.437354	-0.0899297	0.276079	-0.409645	-0.834135	2.00025	0.588598	0.087888	-0.700579	0.031828	-1.17385
ENSRNOG00000000702	0.158579	0.685863	0.524028	0.27923	-0.271589	-0.61309	-0.763024	-0.422564	0.365903	0.866613	2.27827	-0.55612	-1.65587	-0.876225
ENSRNOG00000000718	0.136786	0.563764	0.981352	1.36558	-0.861794	-1.09284	-1.09284	-0.189557	0.430076	2.33255	2.21485	-0.75504	-2.01644	-2.01644
ENSRNOG00000000893	0.786492	0.593331	0.725101	0.538563	-1.60252	-1.37147	0.330511	0.728405	0.985108	0.467486	0.567521	-0.762141	-0.99319	-0.99319
ENSRNOG00000000899	-0.164452	0.358421	0.61934	-0.103677	0.692237	-0.103679	-1.29819	-0.0953557	0.828841	0.135693	0.38035	-0.692609	0.135693	-0.692609
ENSRNOG00000000906	1.66384	1.42619	0.196562	-0.937173	-0.937173	-0.937173	-0.475073	0.517025	1.37201	0.442645	-0.847757	-0.847757	-0.847757	0.211595
ENSRNOG00000000920	1.07565	-0.491086	-0.631491	0.689536	0.212318	-0.111275	-0.743648	0.761361	-0.685708	-0.162836	1.09856	0.142595	-0.760089	-0.393885
ENSRNOG00000000977	-0.00840067	0.217558	0.173049	0.677511	0.171456	-0.153165	-1.07801	-0.139978	1.40447	1.06366	1.29712	-0.984544	-1.52102	-1.1197
