Gene	homo_sapiens	rattus_norvegicus	Anc4	bos_taurus	Anc3
ENSG00000019186	5	1	1	1	1
ENSG00000186350	5	1	1	1	1
ENSG00000185436	5	1	1	1	1
ENSG00000123815	5	1	1	1	1
ENSG00000153237	5	1	1	1	1
ENSG00000109991	5	1	1	1	1
ENSG00000118689	5	1	1	1	1
ENSG00000113722	5	1	1	1	1
ENSG00000123095	5	1	1	1	1
ENSG00000136603	5	1	1	1	1
ENSG00000137449	5	1	1	1	1
ENSG00000157216	5	1	1	1	1
ENSG00000188760	5	1	1	1	1
DUMMY46	-100	-100	-100	-100	-100
ENSG00000036054	2	2	2	3	3
ENSG00000196792	2	2	2	3	3
ENSG00000123810	2	2	2	3	3
ENSG00000069998	2	2	2	3	3
ENSG00000180425	2	2	2	3	3
ENSG00000169682	2	2	2	3	3
ENSG00000156521	2	2	2	3	3
ENSG00000139637	2	2	2	3	3
ENSG00000120742	2	2	2	3	3
ENSG00000110080	2	2	2	3	3
ENSG00000082258	2	2	2	3	3
ENSG00000185963	2	2	2	3	3
ENSG00000058729	2	2	2	3	3
ENSG00000160285	2	2	2	3	3
ENSG00000147316	2	2	2	3	3
ENSG00000134001	2	2	2	3	3
ENSG00000119328	2	2	2	3	3
ENSG00000101400	2	2	2	3	3
ENSG00000239779	2	2	2	3	3
ENSG00000130150	2	2	2	3	3
ENSG00000083812	2	2	2	3	3
ENSG00000164535	2	2	2	3	3
ENSG00000157578	2	2	2	3	3
ENSG00000138095	2	2	2	3	3
ENSG00000119725	2	2	2	3	3
ENSG00000107566	2	2	2	3	3
ENSG00000205765	2	2	2	3	3
ENSG00000127540	2	2	2	3	3
ENSG00000086504	2	2	2	3	3
ENSG00000173566	2	2	2	3	3
ENSG00000089818	2	2	2	3	3
ENSG00000149260	2	2	2	3	3
ENSG00000135974	2	2	2	3	3
ENSG00000122557	2	2	2	3	3
ENSG00000105447	2	2	2	3	3
ENSG00000095002	2	2	2	3	3
ENSG00000187866	2	2	2	3	3
ENSG00000096080	2	2	2	3	3
ENSG00000163463	2	2	2	3	3
ENSG00000149548	2	2	2	3	3
ENSG00000136932	2	2	2	3	3
ENSG00000122729	2	2	2	3	3
ENSG00000106524	2	2	2	3	3
ENSG00000187566	2	2	2	3	3
ENSG00000124688	2	2	2	3	3
ENSG00000099203	2	2	2	3	3
ENSG00000173914	2	2	2	3	3
ENSG00000107833	2	2	2	3	3
ENSG00000159055	2	2	2	3	3
ENSG00000122912	2	2	2	3	3
ENSG00000130826	2	2	2	3	3
ENSG00000131100	2	2	2	3	3
ENSG00000131236	2	2	2	3	3
ENSG00000254858	2	2	2	3	3
ENSG00000074935	2	2	2	3	3
ENSG00000141556	2	2	2	3	3
ENSG00000174928	2	2	2	3	3
ENSG00000143294	2	2	2	3	3
ENSG00000163686	2	2	2	3	3
ENSG00000164077	2	2	2	3	3
ENSG00000164967	2	2	2	3	3
ENSG00000242485	2	2	2	3	3
ENSG00000128694	2	2	2	3	3
ENSG00000198715	2	2	2	3	3
ENSG00000124356	2	2	2	3	3
ENSG00000196655	2	2	2	3	3
ENSG00000123975	2	2	2	3	3
DUMMY47	-100	-100	-100	-100	-100
ENSG00000011105	3	5	5	5	5
ENSG00000130513	3	5	5	5	5
ENSG00000213203	3	5	5	5	5
ENSG00000171346	3	5	5	5	5
ENSG00000123892	3	5	5	5	5
ENSG00000107130	3	5	5	5	5
ENSG00000088808	3	5	5	5	5
ENSG00000062598	3	5	5	5	5
ENSG00000198146	3	5	5	5	5
ENSG00000075413	3	5	5	5	5
ENSG00000066933	3	5	5	5	5
ENSG00000161647	3	5	5	5	5
ENSG00000151491	3	5	5	5	5
ENSG00000136161	3	5	5	5	5
ENSG00000120029	3	5	5	5	5
ENSG00000109501	3	5	5	5	5
ENSG00000100154	3	5	5	5	5
ENSG00000075568	3	5	5	5	5
ENSG00000198399	3	5	5	5	5
ENSG00000130038	3	5	5	5	5
ENSG00000078177	3	5	5	5	5
ENSG00000164050	3	5	5	5	5
ENSG00000154760	3	5	5	5	5
ENSG00000139354	3	5	5	5	5
ENSG00000133627	3	5	5	5	5
ENSG00000114948	3	5	5	5	5
ENSG00000112561	3	5	5	5	5
ENSG00000100814	3	5	5	5	5
ENSG00000173402	3	5	5	5	5
ENSG00000129993	3	5	5	5	5
ENSG00000121957	3	5	5	5	5
ENSG00000168917	3	5	5	5	5
ENSG00000122035	3	5	5	5	5
ENSG00000157350	3	5	5	5	5
ENSG00000140525	3	5	5	5	5
ENSG00000135241	3	5	5	5	5
ENSG00000136810	3	5	5	5	5
ENSG00000137145	3	5	5	5	5
ENSG00000175764	3	5	5	5	5
ENSG00000102048	3	5	5	5	5
ENSG00000137871	3	5	5	5	5
ENSG00000183530	3	5	5	5	5
ENSG00000128908	3	5	5	5	5
ENSG00000144824	3	5	5	5	5
ENSG00000164961	3	5	5	5	5
ENSG00000161813	3	5	5	5	5
ENSG00000162687	3	5	5	5	5
ENSG00000163071	3	5	5	5	5
ENSG00000165914	3	5	5	5	5
ENSG00000166004	3	5	5	5	5
ENSG00000177728	3	5	5	5	5
ENSG00000102763	3	5	5	5	5
ENSG00000175395	3	5	5	5	5
ENSG00000126883	3	5	5	5	5
ENSG00000165568	3	5	5	5	5
ENSG00000125962	3	5	5	5	5
DUMMY48	-100	-100	-100	-100	-100
ENSG00000044090	3	1	1	1	1
ENSG00000214022	3	1	1	1	1
ENSG00000123728	3	1	1	1	1
ENSG00000092140	3	1	1	1	1
ENSG00000100726	3	1	1	1	1
ENSG00000180801	3	1	1	1	1
ENSG00000116793	3	1	1	1	1
ENSG00000121892	3	1	1	1	1
ENSG00000131626	3	1	1	1	1
ENSG00000148606	3	1	1	1	1
ENSG00000138621	3	1	1	1	1
ENSG00000154222	3	1	1	1	1
ENSG00000159082	3	1	1	1	1
ENSG00000171612	3	1	1	1	1
DUMMY49	-100	-100	-100	-100	-100
ENSG00000029363	2	4	2	2	2
ENSG00000156502	2	4	2	2	2
ENSG00000164051	2	4	2	2	2
ENSG00000111667	2	4	2	2	2
ENSG00000143314	2	4	2	2	2
ENSG00000168297	2	4	2	2	2
ENSG00000097096	2	4	2	2	2
ENSG00000087303	2	4	2	2	2
ENSG00000103994	2	4	2	2	2
ENSG00000151116	2	4	2	2	2
ENSG00000126453	2	4	2	2	2
ENSG00000184076	2	4	2	2	2
ENSG00000184277	2	4	2	2	2
ENSG00000125703	2	4	2	2	2
ENSG00000177042	2	4	2	2	2
ENSG00000198718	2	4	2	2	2
ENSG00000103351	2	4	2	2	2
ENSG00000168610	2	4	2	2	2
ENSG00000112972	2	4	2	2	2
DUMMY56	-100	-100	-100	-100	-100
ENSG00000008853	3	3	3	5	5
ENSG00000149541	3	3	3	5	5
ENSG00000145332	3	3	3	5	5
ENSG00000088986	3	3	3	5	5
ENSG00000055070	3	3	3	5	5
ENSG00000136874	3	3	3	5	5
ENSG00000171044	3	3	3	5	5
ENSG00000066135	3	3	3	5	5
ENSG00000075975	3	3	3	5	5
ENSG00000106261	3	3	3	5	5
ENSG00000175906	3	3	3	5	5
ENSG00000122033	3	3	3	5	5
ENSG00000158669	3	3	3	5	5
ENSG00000155868	3	3	3	5	5
ENSG00000076321	3	3	3	5	5
ENSG00000182150	3	3	3	5	5
ENSG00000047579	3	3	3	5	5
ENSG00000166024	3	3	3	5	5
ENSG00000164733	3	3	3	5	5
ENSG00000078269	3	3	3	5	5
ENSG00000138821	3	3	3	5	5
ENSG00000164039	3	3	3	5	5
ENSG00000163818	3	3	3	5	5
ENSG00000081913	3	3	3	5	5
ENSG00000108587	3	3	3	5	5
ENSG00000171792	3	3	3	5	5
ENSG00000119720	3	3	3	5	5
ENSG00000085998	3	3	3	5	5
ENSG00000104714	3	3	3	5	5
ENSG00000124177	3	3	3	5	5
ENSG00000185015	3	3	3	5	5
ENSG00000184575	3	3	3	5	5
ENSG00000102531	3	3	3	5	5
ENSG00000108961	3	3	3	5	5
ENSG00000109586	3	3	3	5	5
ENSG00000124214	3	3	3	5	5
ENSG00000185900	3	3	3	5	5
ENSG00000184014	3	3	3	5	5
ENSG00000072274	3	3	3	5	5
ENSG00000130962	3	3	3	5	5
ENSG00000140263	3	3	3	5	5
ENSG00000175054	3	3	3	5	5
ENSG00000101353	3	3	3	5	5
ENSG00000130695	3	3	3	5	5
ENSG00000204764	3	3	3	5	5
ENSG00000185716	3	3	3	5	5
ENSG00000101935	3	3	3	5	5
ENSG00000170425	3	3	3	5	5
ENSG00000119596	3	3	3	5	5
ENSG00000103319	3	3	3	5	5
ENSG00000213853	3	3	3	5	5
ENSG00000183655	3	3	3	5	5
ENSG00000102901	3	3	3	5	5
ENSG00000163701	3	3	3	5	5
ENSG00000111358	3	3	3	5	5
ENSG00000154229	3	3	3	5	5
ENSG00000089009	3	3	3	5	5
DUMMY57	-100	-100	-100	-100	-100
ENSG00000008405	4	3	4	2	2
ENSG00000142937	4	3	4	2	2
ENSG00000109881	4	3	4	2	2
ENSG00000104361	4	3	4	2	2
ENSG00000137409	4	3	4	2	2
ENSG00000109046	4	3	4	2	2
ENSG00000131475	4	3	4	2	2
ENSG00000140398	4	3	4	2	2
ENSG00000183431	4	3	4	2	2
ENSG00000228300	4	3	4	2	2
ENSG00000101782	4	3	4	2	2
ENSG00000185340	4	3	4	2	2
ENSG00000185019	4	3	4	2	2
DUMMY58	-100	-100	-100	-100	-100
ENSG00000021300	5	5	5	3	3
ENSG00000158296	5	5	5	3	3
ENSG00000169155	5	5	5	3	3
ENSG00000157856	5	5	5	3	3
ENSG00000153317	5	5	5	3	3
ENSG00000077585	5	5	5	3	3
ENSG00000131023	5	5	5	3	3
ENSG00000144744	5	5	5	3	3
ENSG00000147364	5	5	5	3	3
ENSG00000152670	5	5	5	3	3
ENSG00000198331	5	5	5	3	3
ENSG00000100335	5	5	5	3	3
ENSG00000182718	5	5	5	3	3
ENSG00000182240	5	5	5	3	3
ENSG00000182156	5	5	5	3	3
ENSG00000179774	5	5	5	3	3
DUMMY59	-100	-100	-100	-100	-100
ENSG00000003402	4	3	4	4	4
ENSG00000162407	4	3	4	4	4
ENSG00000162704	4	3	4	4	4
ENSG00000153904	4	3	4	4	4
ENSG00000153714	4	3	4	4	4
ENSG00000057704	4	3	4	4	4
ENSG00000138346	4	3	4	4	4
ENSG00000171877	4	3	4	4	4
ENSG00000115091	4	3	4	4	4
ENSG00000104522	4	3	4	4	4
ENSG00000136830	4	3	4	4	4
ENSG00000167861	4	3	4	4	4
ENSG00000114019	4	3	4	4	4
ENSG00000105404	4	3	4	4	4
ENSG00000134508	4	3	4	4	4
ENSG00000168476	4	3	4	4	4
ENSG00000010295	4	3	4	4	4
ENSG00000108239	4	3	4	4	4
ENSG00000132122	4	3	4	4	4
ENSG00000130382	4	3	4	4	4
ENSG00000197329	4	3	4	4	4
ENSG00000187840	4	3	4	4	4
ENSG00000103316	4	3	4	4	4
ENSG00000108256	4	3	4	4	4
ENSG00000131435	4	3	4	4	4
ENSG00000168994	4	3	4	4	4
ENSG00000168899	4	3	4	4	4
ENSG00000133639	4	3	4	4	4
ENSG00000136156	4	3	4	4	4
ENSG00000168118	4	3	4	4	4
ENSG00000166483	4	3	4	4	4
ENSG00000136854	4	3	4	4	4
ENSG00000140931	4	3	4	4	4
ENSG00000142552	4	3	4	4	4
ENSG00000143862	4	3	4	4	4
ENSG00000074660	4	3	4	4	4
ENSG00000182704	4	3	4	4	4
ENSG00000183011	4	3	4	4	4
ENSG00000004478	4	3	4	4	4
ENSG00000128944	4	3	4	4	4
ENSG00000185614	4	3	4	4	4
ENSG00000198795	4	3	4	4	4
ENSG00000075415	4	3	4	4	4
ENSG00000166266	4	3	4	4	4
ENSG00000164897	4	3	4	4	4
ENSG00000164164	4	3	4	4	4
ENSG00000112144	4	3	4	4	4
DUMMY60	-100	-100	-100	-100	-100
ENSG00000020426	4	3	3	3	3
ENSG00000157184	4	3	3	3	3
ENSG00000163743	4	3	3	3	3
ENSG00000153214	4	3	3	3	3
ENSG00000110108	4	3	3	3	3
ENSG00000025796	4	3	3	3	3
ENSG00000145740	4	3	3	3	3
ENSG00000106144	4	3	3	3	3
ENSG00000104320	4	3	3	3	3
ENSG00000148834	4	3	3	3	3
ENSG00000107819	4	3	3	3	3
ENSG00000106615	4	3	3	3	3
ENSG00000149273	4	3	3	3	3
ENSG00000134086	4	3	3	3	3
ENSG00000134987	4	3	3	3	3
ENSG00000168488	4	3	3	3	3
ENSG00000122707	4	3	3	3	3
ENSG00000137040	4	3	3	3	3
ENSG00000137500	4	3	3	3	3
ENSG00000171222	4	3	3	3	3
ENSG00000122034	4	3	3	3	3
ENSG00000138448	4	3	3	3	3
ENSG00000153879	4	3	3	3	3
ENSG00000169905	4	3	3	3	3
ENSG00000046647	4	3	3	3	3
ENSG00000102218	4	3	3	3	3
ENSG00000169567	4	3	3	3	3
ENSG00000182544	4	3	3	3	3
ENSG00000048649	4	3	3	3	3
ENSG00000102226	4	3	3	3	3
ENSG00000170265	4	3	3	3	3
ENSG00000180822	4	3	3	3	3
ENSG00000073578	4	3	3	3	3
ENSG00000170385	4	3	3	3	3
ENSG00000118418	4	3	3	3	3
ENSG00000129625	4	3	3	3	3
ENSG00000180233	4	3	3	3	3
ENSG00000185753	4	3	3	3	3
ENSG00000103502	4	3	3	3	3
ENSG00000165644	4	3	3	3	3
ENSG00000068697	4	3	3	3	3
ENSG00000167693	4	3	3	3	3
ENSG00000188026	4	3	3	3	3
ENSG00000103479	4	3	3	3	3
ENSG00000166938	4	3	3	3	3
ENSG00000100226	4	3	3	3	3
ENSG00000168040	4	3	3	3	3
ENSG00000115289	4	3	3	3	3
ENSG00000166441	4	3	3	3	3
ENSG00000066422	4	3	3	3	3
ENSG00000163382	4	3	3	3	3
ENSG00000114125	4	3	3	3	3
DUMMY62	-100	-100	-100	-100	-100
ENSG00000002016	3	5	3	3	3
ENSG00000271303	3	5	3	3	3
ENSG00000182621	3	5	3	3	3
ENSG00000107854	3	5	3	3	3
ENSG00000151726	3	5	3	3	3
ENSG00000150456	3	5	3	3	3
ENSG00000107731	3	5	3	3	3
ENSG00000114030	3	5	3	3	3
ENSG00000169247	3	5	3	3	3
ENSG00000145817	3	5	3	3	3
ENSG00000105186	3	5	3	3	3
ENSG00000099821	3	5	3	3	3
ENSG00000179562	3	5	3	3	3
ENSG00000144357	3	5	3	3	3
ENSG00000148450	3	5	3	3	3
ENSG00000117523	3	5	3	3	3
ENSG00000176396	3	5	3	3	3
ENSG00000104679	3	5	3	3	3
ENSG00000143379	3	5	3	3	3
ENSG00000120727	3	5	3	3	3
ENSG00000198087	3	5	3	3	3
ENSG00000088826	3	5	3	3	3
ENSG00000153147	3	5	3	3	3
ENSG00000156467	3	5	3	3	3
ENSG00000083799	3	5	3	3	3
ENSG00000108395	3	5	3	3	3
ENSG00000108799	3	5	3	3	3
ENSG00000179222	3	5	3	3	3
ENSG00000117226	3	5	3	3	3
ENSG00000109320	3	5	3	3	3
ENSG00000127955	3	5	3	3	3
ENSG00000197548	3	5	3	3	3
ENSG00000197798	3	5	3	3	3
ENSG00000072163	3	5	3	3	3
ENSG00000186318	3	5	3	3	3
ENSG00000120690	3	5	3	3	3
ENSG00000179387	3	5	3	3	3
ENSG00000117133	3	5	3	3	3
ENSG00000177076	3	5	3	3	3
ENSG00000066855	3	5	3	3	3
ENSG00000174891	3	5	3	3	3
ENSG00000173812	3	5	3	3	3
ENSG00000172594	3	5	3	3	3
ENSG00000171984	3	5	3	3	3
ENSG00000163684	3	5	3	3	3
ENSG00000065457	3	5	3	3	3
ENSG00000167333	3	5	3	3	3
ENSG00000164576	3	5	3	3	3
ENSG00000164414	3	5	3	3	3
ENSG00000163584	3	5	3	3	3
ENSG00000162664	3	5	3	3	3
ENSG00000161999	3	5	3	3	3
DUMMY63	-100	-100	-100	-100	-100
ENSG00000003249	5	5	5	4	4
ENSG00000128482	5	5	5	4	4
ENSG00000185585	5	5	5	4	4
ENSG00000134352	5	5	5	4	4
ENSG00000108556	5	5	5	4	4
ENSG00000060656	5	5	5	4	4
ENSG00000166343	5	5	5	4	4
ENSG00000170500	5	5	5	4	4
ENSG00000157833	5	5	5	4	4
ENSG00000154721	5	5	5	4	4
ENSG00000131196	5	5	5	4	4
ENSG00000061455	5	5	5	4	4
