OG1_0	c2_A1BG,c4_A1BG,c1_A1BG,c3_A1BG
OG2_0	c2_A1BG-AS1,c4_A1BG-AS1,c1_A1BG-AS1,c3_A1BG-AS1
OG3_0	c2_A1CF,c4_A1CF,c1_A1CF,c3_A1CF
OG4_0	c2_A2M,c4_A2M,c1_A2M,c3_A2M
OG5_0	c2_A2M-AS1,c4_A2M-AS1,c1_A2M-AS1,c3_A2M-AS1
OG6_0	c2_A2ML1,c4_A2ML1,c1_A2ML1,c3_A2ML1
OG7_0	c2_A4GALT,c4_A4GALT,c1_A4GALT,c3_A4GALT
OG8_0	c2_AAAS,c4_AAAS,c1_AAAS,c3_AAAS
OG9_0	c2_AACS,c4_AACS,c1_AACS,c3_AACS
OG10_0	c2_AADAT,c4_AADAT,c1_AADAT,c3_AADAT
OG11_0	c2_AAED1,c4_AAED1,c1_AAED1,c3_AAED1
OG12_0	c2_AAGAB,c4_AAGAB,c1_AAGAB,c3_AAGAB
OG13_0	c2_AAK1,c4_AAK1,c1_AAK1,c3_AAK1
OG14_0	c2_AAMDC,c4_AAMDC,c1_AAMDC,c3_AAMDC
OG15_0	c2_AAMP,c4_AAMP,c1_AAMP,c3_AAMP
OG16_0	c2_AANAT,c4_AANAT,c1_AANAT,c3_AANAT
OG17_0	c2_AAR2,c4_AAR2,c1_AAR2,c3_AAR2
OG18_0	c2_AARD,c4_AARD,c1_AARD,c3_AARD
OG19_0	c2_AARS,c4_AARS,c1_AARS,c3_AARS
OG20_0	c2_AARS2,c4_AARS2,c1_AARS2,c3_AARS2
OG21_0	c2_AARSD1,c4_AARSD1,c1_AARSD1,c3_AARSD1
OG22_0	c2_AASDH,c4_AASDH,c1_AASDH,c3_AASDH
OG23_0	c2_AASDHPPT,c4_AASDHPPT,c1_AASDHPPT,c3_AASDHPPT
OG24_0	c2_AASS,c4_AASS,c1_AASS,c3_AASS
OG25_0	c2_AATBC,c4_AATBC,c1_AATBC,c3_AATBC
OG26_0	c2_AATF,c4_AATF,c1_AATF,c3_AATF
OG27_0	c2_AATK,c4_AATK,c1_AATK,c3_AATK
OG28_0	c2_AB015752.1,c4_AB015752.1,c1_AB015752.1,c3_AB015752.1
OG29_0	c2_ABALON,c4_ABALON,c1_ABALON,c3_ABALON
OG30_0	c2_ABAT,c4_ABAT,c1_ABAT,c3_ABAT
OG31_0	c2_ABCA1,c4_ABCA1,c1_ABCA1,c3_ABCA1
OG32_0	c2_ABCA10,c4_ABCA10,c1_ABCA10,c3_ABCA10
OG33_0	c2_ABCA12,c4_ABCA12,c1_ABCA12,c3_ABCA12
OG34_0	c2_ABCA13,c4_ABCA13,c1_ABCA13,c3_ABCA13
OG35_0	c2_ABCA2,c4_ABCA2,c1_ABCA2,c3_ABCA2
OG36_0	c2_ABCA3,c4_ABCA3,c1_ABCA3,c3_ABCA3
OG37_0	c2_ABCA5,c4_ABCA5,c1_ABCA5,c3_ABCA5
OG38_0	c2_ABCA6,c4_ABCA6,c1_ABCA6,c3_ABCA6
OG39_0	c2_ABCA7,c4_ABCA7,c1_ABCA7,c3_ABCA7
OG40_0	c2_ABCA9,c4_ABCA9,c1_ABCA9,c3_ABCA9
OG41_0	c2_ABCB1,c4_ABCB1,c1_ABCB1,c3_ABCB1
OG42_0	c2_ABCB10,c4_ABCB10,c1_ABCB10,c3_ABCB10
OG43_0	c2_ABCB4,c4_ABCB4,c1_ABCB4,c3_ABCB4
OG44_0	c2_ABCB6,c4_ABCB6,c1_ABCB6,c3_ABCB6
OG45_0	c2_ABCB7,c4_ABCB7,c1_ABCB7,c3_ABCB7
OG46_0	c2_ABCB8,c4_ABCB8,c1_ABCB8,c3_ABCB8
OG47_0	c2_ABCB9,c4_ABCB9,c1_ABCB9,c3_ABCB9
OG48_0	c2_ABCC1,c4_ABCC1,c1_ABCC1,c3_ABCC1
OG49_0	c2_ABCC10,c4_ABCC10,c1_ABCC10,c3_ABCC10
OG50_0	c2_ABCC11,c4_ABCC11,c1_ABCC11,c3_ABCC11
OG51_0	c2_ABCC3,c4_ABCC3,c1_ABCC3,c3_ABCC3
OG52_0	c2_ABCC4,c4_ABCC4,c1_ABCC4,c3_ABCC4
OG53_0	c2_ABCC5,c4_ABCC5,c1_ABCC5,c3_ABCC5
OG54_0	c2_ABCC6,c4_ABCC6,c1_ABCC6,c3_ABCC6
OG55_0	c2_ABCC8,c4_ABCC8,c1_ABCC8,c3_ABCC8
OG56_0	c2_ABCC9,c4_ABCC9,c1_ABCC9,c3_ABCC9
OG57_0	c2_ABCD1,c4_ABCD1,c1_ABCD1,c3_ABCD1
OG58_0	c2_ABCD2,c4_ABCD2,c1_ABCD2,c3_ABCD2
OG59_0	c2_ABCD3,c4_ABCD3,c1_ABCD3,c3_ABCD3
OG60_0	c2_ABCD4,c4_ABCD4,c1_ABCD4,c3_ABCD4
OG61_0	c2_ABCE1,c4_ABCE1,c1_ABCE1,c3_ABCE1
OG62_0	c2_ABCF1,c4_ABCF1,c1_ABCF1,c3_ABCF1
OG63_0	c2_ABCF2.1,c4_ABCF2.1,c1_ABCF2.1,c3_ABCF2.1
OG64_0	c2_ABCF3,c4_ABCF3,c1_ABCF3,c3_ABCF3
OG65_0	c2_ABCG1,c4_ABCG1,c1_ABCG1,c3_ABCG1
OG66_0	c2_ABCG2,c4_ABCG2,c1_ABCG2,c3_ABCG2
OG67_0	c2_ABCG4,c4_ABCG4,c1_ABCG4,c3_ABCG4
OG68_0	c2_ABCG5,c4_ABCG5,c1_ABCG5,c3_ABCG5
OG69_0	c2_ABCG8,c4_ABCG8,c1_ABCG8,c3_ABCG8
OG70_0	c2_ABHD1,c4_ABHD1,c1_ABHD1,c3_ABHD1
OG71_0	c2_ABHD10,c4_ABHD10,c1_ABHD10,c3_ABHD10
OG72_0	c2_ABHD11,c4_ABHD11,c1_ABHD11,c3_ABHD11
OG73_0	c2_ABHD12,c4_ABHD12,c1_ABHD12,c3_ABHD12
OG74_0	c2_ABHD12B,c4_ABHD12B,c1_ABHD12B,c3_ABHD12B
OG75_0	c2_ABHD13,c4_ABHD13,c1_ABHD13,c3_ABHD13
OG76_0	c2_ABHD14A,c4_ABHD14A,c1_ABHD14A,c3_ABHD14A
OG77_0	c2_ABHD14A-ACY1,c4_ABHD14A-ACY1,c1_ABHD14A-ACY1,c3_ABHD14A-ACY1
OG78_0	c2_ABHD14B,c4_ABHD14B,c1_ABHD14B,c3_ABHD14B
OG79_0	c2_ABHD15,c4_ABHD15,c1_ABHD15,c3_ABHD15
OG80_0	c2_ABHD16A,c4_ABHD16A,c1_ABHD16A,c3_ABHD16A
OG81_0	c2_ABHD17A,c4_ABHD17A,c1_ABHD17A,c3_ABHD17A
OG82_0	c2_ABHD17B,c4_ABHD17B,c1_ABHD17B,c3_ABHD17B
OG83_0	c2_ABHD17C,c4_ABHD17C,c1_ABHD17C,c3_ABHD17C
OG84_0	c2_ABHD18,c4_ABHD18,c1_ABHD18,c3_ABHD18
OG85_0	c2_ABHD2,c4_ABHD2,c1_ABHD2,c3_ABHD2
OG86_0	c2_ABHD3,c4_ABHD3,c1_ABHD3,c3_ABHD3
OG87_0	c2_ABHD4,c4_ABHD4,c1_ABHD4,c3_ABHD4
OG88_0	c2_ABHD5,c4_ABHD5,c1_ABHD5,c3_ABHD5
OG89_0	c2_ABHD6,c4_ABHD6,c1_ABHD6,c3_ABHD6
OG90_0	c2_ABHD8,c4_ABHD8,c1_ABHD8,c3_ABHD8
OG91_0	c2_ABI1,c4_ABI1,c1_ABI1,c3_ABI1
OG92_0	c2_ABI2,c4_ABI2,c1_ABI2,c3_ABI2
OG93_0	c2_ABI3BP,c4_ABI3BP,c1_ABI3BP,c3_ABI3BP
OG94_0	c2_ABL1,c4_ABL1,c1_ABL1,c3_ABL1
OG95_0	c2_ABL2,c4_ABL2,c1_ABL2,c3_ABL2
OG96_0	c2_ABLIM1,c4_ABLIM1,c1_ABLIM1,c3_ABLIM1
OG97_0	c2_ABLIM2,c4_ABLIM2,c1_ABLIM2,c3_ABLIM2
OG98_0	c2_ABLIM3,c4_ABLIM3,c1_ABLIM3,c3_ABLIM3
OG99_0	c2_ABO,c4_ABO,c1_ABO,c3_ABO
OG100_0	c2_ABR,c4_ABR,c1_ABR,c3_ABR
OG101_0	c2_ABRACL,c4_ABRACL,c1_ABRACL,c3_ABRACL
OG102_0	c2_ABRAXAS1,c4_ABRAXAS1,c1_ABRAXAS1,c3_ABRAXAS1
OG103_0	c2_ABRAXAS2,c4_ABRAXAS2,c1_ABRAXAS2,c3_ABRAXAS2
OG104_0	c2_ABT1,c4_ABT1,c1_ABT1,c3_ABT1
OG105_0	c2_ABTB1,c4_ABTB1,c1_ABTB1,c3_ABTB1
OG106_0	c2_ABTB2,c4_ABTB2,c1_ABTB2,c3_ABTB2
