Gene	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT2G16595	3	2	2	2	2	3	4	3	2	2	3
AT3G09030	3	2	2	2	2	3	4	3	2	2	3
AT5G18280	3	2	-1	2	2	3	3	3	2	2	3
AT4G13340	3	2	2	2	2	3	3	3	2	2	3
AT2G21160	3	-1	2	2	2	3	3	3	2	2	3
DUMMY386	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G41160	2	-1	-1	-1	2	2	4	4	2	2	2
AT1G10900	2	-1	-1	-1	2	4	4	4	2	2	2
AT1G08350	2	-1	-1	-1	2	4	4	4	2	2	2
OG3072_1	2	-1	-1	-1	2	4	-1	4	2	2	2
OG15469_1	-1	-1	-1	-1	2	4	-1	4	2	2	2
DUMMY387	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G76100	5	-1	2	5	-1	-1	3	5	5	5	5
AT3G22630	5	-1	5	5	-1	3	3	5	5	5	5
AT5G23250	5	-1	5	5	-1	-1	3	5	5	5	5
AT1G23190	5	-1	5	5	-1	-1	5	5	5	5	5
AT2G43750	5	-1	5	5	-1	0	5	5	5	5	5
AT4G02770	5	-1	5	5	-1	0	3	5	5	5	5
AT5G60390	5	-1	5	5	-1	0	0	5	5	5	5
AT3G05540	5	-1	5	5	-1	0	0	5	5	5	5
OG2178_2	5	-1	5	5	-1	4	-1	5	5	5	5
DUMMY497	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG3164_2	0	-1	7	7	-1	2	-1	7	7	7	7
OG5245_2	7	-1	7	7	-1	2	-1	7	7	7	7
OG4616_2	7	-1	7	7	-1	4	-1	7	7	7	7
OG4431_2	7	-1	7	7	2	2	-1	7	7	7	7
OG3473_1	7	7	7	7	2	2	-1	7	7	7	7
DUMMY498	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G36480	1	4	-1	4	4	4	4	4	4	4	1
AT5G30490	1	4	0	4	4	4	4	4	4	4	1
AT5G11260	1	4	0	4	4	-1	4	4	4	4	1
AT5G38720	1	4	0	4	4	-1	4	4	4	4	1
AT3G59660	1	4	0	4	4	3	4	4	4	4	1
AT3G55160	1	4	0	4	-1	4	4	4	4	4	1
OG3979_1	1	4	0	4	-1	4	-1	4	4	4	1
OG5408_1	1	4	0	4	4	4	-1	4	4	4	1
OG10337_1	1	4	0	4	4	4	-1	4	4	4	1
AT3G62980	1	4	0	4	6	4	6	4	4	4	1
DUMMY499	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
OG386_2	-1	0	1	1	2	-1	-1	-1	2	1	2
OG10809_1	-1	0	1	1	2	-1	-1	-1	2	2	2
OG5310_2	-1	0	1	1	2	-1	-1	-1	2	2	2
OG1160_3	-1	0	1	1	2	-1	-1	-1	2	2	2
OG2237_2	-1	2	1	1	2	-1	-1	-1	2	2	2
OG524_1	-1	6	1	6	2	-1	-1	-1	2	2	2
DUMMY500	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G21280	7	3	0	3	7	3	3	3	7	7	7
AT1G73060	7	4	3	3	7	3	3	3	7	7	7
AT1G74070	7	3	3	3	7	3	3	3	7	7	7
AT5G08740	7	3	3	3	7	3	3	3	7	7	7
AT4G11980	7	3	3	3	7	3	3	3	7	7	7
AT5G63550	7	3	3	3	7	3	3	3	7	7	7
AT5G39830	7	3	3	3	7	3	3	3	7	7	7
AT5G52970	7	3	3	3	7	0	3	3	7	7	7
AT4G31580	7	3	3	3	7	-1	3	3	7	7	7
AT4G30210	7	3	3	3	7	7	3	3	3	7	7
DUMMY501	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G21510	4	2	7	7	7	7	1	7	7	7	7
AT5G26570	3	2	7	7	7	7	7	7	7	7	7
OG1247_2	3	2	7	7	7	7	-1	7	7	7	7
OG10862_1	-1	2	7	7	7	7	-1	7	7	7	7
OG1876_2	-1	2	2	7	7	7	-1	7	7	7	7
DUMMY502	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT2G22640	0	4	-1	4	0	1	0	1	4	4	4
AT1G15660	0	0	-1	4	0	1	0	1	4	4	4
AT1G57600	0	0	4	4	0	1	0	1	4	4	4
AT5G67270	-1	0	4	4	0	1	0	1	4	4	4
AT5G17210	-1	4	4	4	0	1	0	1	4	4	4
AT3G15050	-1	4	0	4	0	1	0	1	4	4	4
DUMMY503	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT3G46870	4	1	0	1	4	0	4	4	4	1	4
AT1G26270	4	0	0	1	4	0	4	4	4	1	4
AT5G50110	4	0	1	1	4	0	4	4	4	1	4
AT3G51010	4	0	1	1	4	0	4	4	4	1	4
AT5G13800	4	0	1	1	4	0	1	4	4	1	4
AT5G58020	4	0	1	1	4	4	1	4	4	1	4
DUMMY505	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G74450	-1	2	2	2	4	-1	1	4	4	4	4
