OG2_0	ENSG00000178201,NONE,ENSBTAG00000047568
OG4_0	NONE,ENSRNOG00000032996,ENSBTAG00000018162
OG7_0	ENSG00000036828,ENSRNOG00000002265,ENSBTAG00000003865
OG8_0	ENSG00000136099,ENSRNOG00000013101,ENSBTAG00000048161
OG8_1	NONE,NONE,ENSBTAG00000018179
OG9_0	ENSG00000113555,ENSRNOG00000019265,ENSBTAG00000008437
OG10_0	ENSG00000189184,NONE,ENSBTAG00000015549
OG12_0	ENSG00000118946,NONE,ENSBTAG00000010420
OG15_0	NONE,ENSRNOG00000003929,ENSBTAG00000014169
OG16_0	ENSG00000138650,ENSRNOG00000031974,ENSBTAG00000019977
OG18_0	NONE,ENSRNOG00000050292,ENSBTAG00000046717
OG18_1	NONE,ENSRNOG00000046285,NONE
OG19_0	ENSG00000272756,ENSRNOG00000047174,NONE
OG19_1	ENSG00000204967,NONE,NONE
OG20_0	ENSG00000255408,ENSRNOG00000050378,ENSBTAG00000046190
OG20_1	ENSG00000272818,NONE,NONE
OG22_0	ENSG00000204965,NONE,NONE
OG22_1	ENSG00000273146,NONE,NONE
OG23_0	NONE,ENSRNOG00000049979,ENSBTAG00000045539
OG25_0	NONE,ENSRNOG00000050856,ENSBTAG00000015439
OG25_1	NONE,ENSRNOG00000046710,NONE
OG27_0	ENSG00000272974,NONE,ENSBTAG00000030227
OG27_1	ENSG00000239389,NONE,NONE
OG28_0	ENSG00000273220,NONE,ENSBTAG00000048170
OG28_1	ENSG00000249158,NONE,NONE
OG29_0	ENSG00000272548,ENSRNOG00000020119,NONE
OG29_1	ENSG00000243232,NONE,NONE
OG30_0	ENSG00000248383,NONE,NONE
OG30_1	ENSG00000272550,NONE,NONE
OG31_0	ENSG00000240764,NONE,NONE
OG31_1	ENSG00000242419,NONE,NONE
OG32_0	ENSG00000240184,NONE,ENSBTAG00000017349
OG34_0	NONE,ENSRNOG00000042264,ENSBTAG00000046103
OG36_0	ENSG00000253910,NONE,ENSBTAG00000037968
OG37_0	ENSG00000204956,ENSRNOG00000039463,NONE
OG38_0	ENSG00000253485,ENSRNOG00000027299,ENSBTAG00000045683
OG39_0	ENSG00000262576,ENSRNOG00000042322,NONE
OG40_0	ENSG00000253537,ENSRNOG00000027290,ENSBTAG00000037717
OG41_0	ENSG00000253731,ENSRNOG00000027296,NONE
OG42_0	NONE,ENSRNOG00000034126,ENSBTAG00000039162
OG44_0	ENSG00000254245,ENSRNOG00000039461,ENSBTAG00000040473
OG45_0	ENSG00000253767,ENSRNOG00000027277,NONE
OG45_1	ENSG00000261934,ENSRNOG00000030352,NONE
OG45_2	ENSG00000253846,ENSRNOG00000027253,NONE
OG46_0	ENSG00000253159,ENSRNOG00000019799,NONE
OG46_1	ENSG00000253873,ENSRNOG00000027232,NONE
OG47_0	ENSG00000171815,NONE,NONE
OG47_1	ENSG00000272731,NONE,NONE
OG48_0	NONE,ENSRNOG00000020103,ENSBTAG00000037885
OG50_0	ENSG00000273039,NONE,ENSBTAG00000039433
OG50_1	ENSG00000255622,NONE,NONE
OG52_0	ENSG00000081818,NONE,ENSBTAG00000045603
OG52_1	ENSG00000272633,NONE,NONE
OG53_0	NONE,ENSRNOG00000020072,NONE
OG53_1	NONE,ENSRNOG00000020084,NONE
OG54_0	ENSG00000273392,ENSRNOG00000020062,ENSBTAG00000047478
OG54_1	ENSG00000113211,NONE,NONE
OG55_0	ENSG00000113248,ENSRNOG00000020028,ENSBTAG00000039067
OG55_1	ENSG00000272641,NONE,NONE
OG57_0	ENSG00000196963,ENSRNOG00000039471,ENSBTAG00000015453
OG57_1	ENSG00000272674,NONE,NONE
OG58_0	ENSG00000272585,ENSRNOG00000020095,NONE
OG58_1	ENSG00000113205,NONE,NONE
OG61_0	ENSG00000260225,ENSRNOG00000039476,NONE
OG61_1	ENSG00000112852,NONE,NONE
OG62_0	ENSG00000120324,NONE,ENSBTAG00000045743
OG62_1	ENSG00000268060,NONE,NONE
OG63_0	ENSG00000272845,ENSRNOG00000020054,ENSBTAG00000046262
OG63_1	ENSG00000113212,NONE,NONE
OG64_0	NONE,ENSRNOG00000033479,ENSBTAG00000030474
OG65_0	ENSG00000120327,NONE,NONE
OG65_1	ENSG00000273310,NONE,NONE
OG66_0	NONE,ENSRNOG00000033123,ENSBTAG00000007349
OG68_0	ENSG00000139648,ENSRNOG00000049495,ENSBTAG00000039891
OG69_0	ENSG00000186049,ENSRNOG00000025087,ENSBTAG00000037638
OG70_0	ENSG00000170484,NONE,ENSBTAG00000000619
OG71_0	ENSG00000170486,ENSRNOG00000030876,ENSBTAG00000007904
OG72_0	ENSG00000167768,ENSRNOG00000028996,ENSBTAG00000046089
OG73_0	ENSG00000189182,ENSRNOG00000036865,ENSBTAG00000045770
OG75_0	ENSG00000186442,NONE,ENSBTAG00000045662
OG76_0	ENSG00000185069,ENSRNOG00000031785,NONE
OG78_0	ENSG00000185640,ENSRNOG00000050667,ENSBTAG00000012676
OG79_0	ENSG00000170477,NONE,ENSBTAG00000012034
OG81_0	ENSG00000185479,ENSRNOG00000009160,ENSBTAG00000040019
